Compiler ID,Compiler Name,-fsanitize=address Support,-fsanitize=address Error,-fno-omit-frame-pointer Support,-fno-omit-frame-pointer Error,-fsanitize-recover=address Support,-fsanitize-recover=address Error,-Wall -Wextra Support,-Wall -Wextra Error,-fsanitize-address-use-after-scope Support,-fsanitize-address-use-after-scope Error,All Flags Support,All Flags Error
cg481,gcc 4.8.1,1,,1,,0,gcc: error: unrecognized command line option '-fsanitize-recover=address',1,,0,gcc: error: unrecognized command line option '-fsanitize-address-use-after-scope',0,gcc: error: unrecognized command line option '-fsanitize-recover=address'
cg482,gcc 4.8.2,1,,1,,0,gcc: error: unrecognized command line option '-fsanitize-recover=address',1,,0,gcc: error: unrecognized command line option '-fsanitize-address-use-after-scope',0,gcc: error: unrecognized command line option '-fsanitize-recover=address'
cg483,gcc 4.8.3,1,,1,,0,gcc: error: unrecognized command line option '-fsanitize-recover=address',1,,0,gcc: error: unrecognized command line option '-fsanitize-address-use-after-scope',0,gcc: error: unrecognized command line option '-fsanitize-recover=address'
cg484,gcc 4.8.4,1,,1,,0,gcc: error: unrecognized command line option '-fsanitize-recover=address',1,,0,gcc: error: unrecognized command line option '-fsanitize-address-use-after-scope',0,gcc: error: unrecognized command line option '-fsanitize-recover=address'
cg485,gcc 4.8.5,1,,1,,0,gcc: error: unrecognized command line option '-fsanitize-recover=address',1,,0,gcc: error: unrecognized command line option '-fsanitize-address-use-after-scope',0,gcc: error: unrecognized command line option '-fsanitize-recover=address'
cg490,gcc 4.9.0,1,,1,,0,gcc: error: unrecognized command line option '-fsanitize-recover=address',1,,0,gcc: error: unrecognized command line option '-fsanitize-address-use-after-scope',0,gcc: error: unrecognized command line option '-fsanitize-recover=address'
cg491,gcc 4.9.1,1,,1,,0,gcc: error: unrecognized command line option '-fsanitize-recover=address',1,,0,gcc: error: unrecognized command line option '-fsanitize-address-use-after-scope',0,gcc: error: unrecognized command line option '-fsanitize-recover=address'
cg492,gcc 4.9.2,1,,1,,0,gcc: error: unrecognized command line option '-fsanitize-recover=address',1,,0,gcc: error: unrecognized command line option '-fsanitize-address-use-after-scope',0,gcc: error: unrecognized command line option '-fsanitize-recover=address'
cg493,gcc 4.9.3,1,,1,,0,gcc: error: unrecognized command line option '-fsanitize-recover=address',1,,0,gcc: error: unrecognized command line option '-fsanitize-address-use-after-scope',0,gcc: error: unrecognized command line option '-fsanitize-recover=address'
cg494,gcc 4.9.4,1,,1,,0,gcc: error: unrecognized command line option '-fsanitize-recover=address',1,,0,gcc: error: unrecognized command line option '-fsanitize-address-use-after-scope',0,gcc: error: unrecognized command line option '-fsanitize-recover=address'
